current_class,term,sample_matches,est_total,est_share_pct,example_1,example_2,decision (keep / ->functional / ->visible / drop / context-gate),notes
functional,饮水,129,1290,0.044,杭州瑞拓工程咨询有限公司关于仁和三幼（双陈幼儿园）直饮水设备采购项目的中标(成交)结果公告,杭州政采工程咨询代理有限公司关于杭州市余杭区人民政府崇贤街道办事处直饮水设备项目的中标(成交)结果公告,,
functional,海绵,92,920,0.031,泰顺县南浦溪镇水美共富经济带建设工程-南浦溪镇海绵城市主题公园建设工程 招标公告,城区公园绿地（梅湖）海绵城市提升改造工程,,
functional,给排水,91,910,0.031,莲都区大港头镇区给排水管网提升改造工程（三期）,松阳县新兴镇小学集团学校扩建一期室外给排水工程发包公告,,
functional,内涝,67,670,0.023,遂昌县房屋建筑和市政设施与城市内涝普查项目的合同,宁波工正工程咨询有限公司关于宁波市中心城区（市六区）内涝防治规划编制的公开招标公告,,
functional,供热,58,580,0.02,耀华建设管理有限公司关于塘栖中学迁建项目供热系统采购项目的中标(成交)结果公告,慈溪市人民医院改扩建工程医疗综合楼供热锅炉设备工程中标候选人公示,,
functional,供排水,50,500,0.017,浙江省绿色城镇项目—嵊州市城乡供排水一体化工程（二期）新建长乐水厂工程施工中标结果公告,松阳县供排水有限公司草场圩管理用房修缮工程中标公告,,
functional,中水,35,350,0.012,淳安县农村生活污水尾水中水回用示范工程,安吉县县城污水处理二厂出水中水回用项目-外部管线设计项目安吉县县城污水处理二厂出水中水回用项目-外部管线设计项目开标记录,,
functional,下水道,17,170,0.006,[安昌镇]安昌街道白洋村道路硬化及下水道工程招标公告,诸暨广和工程管理服务有限公司关于诸暨市市政管理处2020年下水道养护科防汛物资采购项目的中标(成交)结果公告,,
functional,供气,11,110,0.004,浙江大兴建设项目管理咨询有限公司关于青田县人民医院医用气体供气设备项目的公开招标公告,12000m3h空分装置及液体后备系统项目12000m3h空分装置及液体后备系统项目（一期）供气管道工程开标记录,,
visible,道路,9397,93970,3.177,新昌县北山路二期新建道路工程[A3306240740000416001001],宁波市轨道交通8号线一期工程道路恢复施工监理[A3302010220000256015001],,FP risk: fires on addresses (…大道中路…商铺租赁); consider context-gate to 工程/改造/建设
